track_id,cluster,genre
2,4,Hip-Hop
3,2,Hip-Hop
5,1,Hip-Hop
10,1,Pop
134,1,Hip-Hop
135,6,Rock
136,6,Rock
137,1,Experimental
138,1,Experimental
139,1,Folk
140,4,Folk
141,4,Folk
142,1,Folk
144,6,Jazz
145,6,Jazz
146,1,Jazz
147,4,Jazz
148,4,Experimental
149,4,Experimental
150,6,Experimental
151,6,Rock
152,1,Rock
153,6,Rock
154,1,Rock
155,6,Rock
156,1,Experimental
157,1,Experimental
158,6,Experimental
159,4,Experimental
160,4,Experimental
161,6,Experimental
162,1,Experimental
163,4,Experimental
164,6,Experimental
165,6,Experimental
166,6,Experimental
167,6,Experimental
168,4,Experimental
169,1,Rock
170,1,Rock
171,6,Rock
172,1,Rock
173,6,Rock
174,1,Rock
175,6,Rock
176,1,Rock
177,6,Rock
178,1,Rock
179,6,Rock
181,4,Rock
182,1,Rock
183,6,Rock
184,4,Rock
188,2,Folk
189,0,Folk
190,2,Folk
191,4,Folk
192,1,Folk
193,4,Folk
194,2,Folk
195,6,Folk
196,4,Folk
197,1,Folk
198,4,Folk
199,2,Folk
200,4,Folk
201,2,Folk
202,2,Folk
203,1,Folk
204,2,Folk
205,6,Folk
206,4,Folk
207,4,Folk
208,2,Folk
209,6,Folk
210,1,Folk
211,4,Folk
212,2,Folk
213,4,Pop
226,2,Rock
228,4,Rock
237,1,Jazz
238,0,Jazz
247,6,Rock
249,6,Rock
252,1,Rock
255,1,Rock
256,6,Rock
257,1,Rock
258,1,Rock
273,1,Experimental
274,4,Experimental
275,1,Experimental
276,5,Experimental
277,4,Experimental
281,2,Experimental
282,5,Experimental
284,2,Experimental
285,1,Experimental
293,1,Experimental
294,6,Experimental
297,1,Experimental
300,1,Experimental
303,1,Rock
304,1,Rock
305,1,Rock
306,1,Rock
307,2,Rock
308,1,Rock
309,2,Rock
310,1,Rock
311,6,Rock
312,4,Rock
313,4,Rock
314,1,Rock
315,1,Rock
316,1,Rock
317,1,Rock
318,1,Rock
319,2,Rock
320,1,Rock
321,1,Rock
322,1,Rock
323,1,Rock
324,2,Rock
325,2,Rock
326,1,Rock
327,1,Rock
328,2,Rock
330,2,Rock
331,6,Rock
332,2,Rock
333,6,Rock
334,1,Rock
335,4,Rock
336,6,Rock
337,6,Rock
338,6,Rock
339,1,Rock
340,4,Rock
341,1,Rock
342,2,Rock
343,6,Rock
344,1,Rock
345,1,Rock
346,1,Rock
347,4,Rock
348,1,Rock
349,2,Rock
350,1,Rock
351,2,Rock
352,2,Rock
353,2,Rock
354,0,Rock
355,2,Rock
356,2,Rock
357,2,Rock
358,2,Rock
359,4,Rock
360,4,Rock
361,4,Rock
362,2,Rock
363,2,Rock
364,0,Rock
365,1,Rock
366,6,Rock
367,1,Rock
368,1,Rock
369,6,Rock
370,6,Rock
371,6,Rock
384,4,Electronic
385,6,Electronic
386,6,Electronic
387,1,Electronic
393,6,Rock
394,1,Rock
395,6,Rock
396,6,Electronic
397,4,Electronic
398,6,Electronic
399,1,Electronic
400,1,Electronic
401,1,Electronic
402,1,Electronic
403,4,Electronic
404,6,Electronic
405,4,Electronic
406,2,Electronic
407,4,Electronic
408,6,Electronic
410,6,Electronic
411,4,Electronic
412,4,Electronic
414,1,Electronic
416,4,Electronic
417,4,Experimental
419,2,Experimental
421,4,Experimental
424,4,Experimental
425,4,Experimental
426,4,Experimental
427,4,Experimental
428,4,Experimental
429,4,Experimental
430,6,Experimental
431,4,Experimental
432,1,Experimental
433,2,Experimental
434,1,Experimental
435,1,Experimental
436,4,Experimental
437,4,Experimental
438,4,Experimental
439,4,Experimental
458,2,Rock
459,2,Rock
466,2,Rock
467,2,Rock
468,2,Rock
469,2,Rock
470,4,Rock
471,4,Rock
472,4,Rock
473,4,Rock
474,4,Rock
475,4,Rock
476,2,Rock
477,0,Rock
478,2,Rock
479,1,Rock
480,6,Rock
481,1,Rock
482,1,Rock
483,6,Rock
484,1,Rock
485,2,Rock
486,0,Rock
487,2,Rock
489,1,Rock
490,2,Rock
491,2,Rock
492,4,Rock
493,2,Rock
495,2,Rock
496,1,Rock
497,4,Rock
498,2,Rock
500,4,Rock
501,2,Rock
502,4,Rock
503,4,Rock
504,2,Rock
506,4,Rock
507,4,Rock
508,4,Rock
509,4,Rock
510,4,Rock
511,6,Rock
512,4,Rock
513,1,Rock
514,6,Rock
515,4,Rock
516,2,Rock
517,4,Rock
520,2,Rock
521,1,Rock
522,4,Rock
523,1,Rock
524,4,Rock
525,2,Rock
526,2,Rock
527,2,Rock
528,2,Rock
529,2,Rock
530,2,Rock
531,4,Rock
532,2,Electronic
533,2,Electronic
534,2,Folk
535,2,Folk
536,2,Folk
537,4,Folk
538,4,Folk
539,4,Folk
540,1,Folk
541,4,Folk
542,2,Folk
543,0,Folk
544,4,Folk
545,0,Folk
546,4,Folk
547,2,Folk
548,1,Folk
549,2,Folk
550,1,Electronic
562,5,Rock
563,1,Rock
564,2,Rock
565,2,Rock
566,1,Rock
567,2,Rock
568,6,Rock
569,2,Rock
570,4,Rock
571,4,Rock
572,4,Rock
573,4,Rock
574,2,Rock
575,4,Rock
576,4,Rock
577,4,Rock
578,2,Rock
579,2,Rock
580,2,Rock
583,2,Hip-Hop
584,2,Hip-Hop
585,6,Hip-Hop
586,1,Hip-Hop
587,6,Experimental
588,6,Experimental
589,6,Experimental
590,2,Jazz
591,1,Jazz
592,2,Jazz
593,1,Jazz
601,6,Folk
602,4,Folk
603,1,Folk
604,6,Folk
605,5,Rock
606,2,Rock
607,2,Rock
608,2,Rock
609,2,Rock
610,2,Folk
611,2,Folk
612,2,Folk
614,2,Folk
615,2,Experimental
616,4,Experimental
617,2,Folk
618,2,Folk
619,1,Folk
620,0,Folk
621,1,Folk
622,6,Folk
623,6,Folk
624,1,Folk
625,1,Folk
626,2,Folk
627,4,Folk
628,4,Folk
629,0,Folk
630,1,Folk
631,5,Folk
633,1,Rock
634,2,Rock
635,2,Rock
637,4,Experimental
638,0,Experimental
639,1,Experimental
640,1,Spoken
641,1,Electronic
642,1,Electronic
643,1,Electronic
644,1,Electronic
645,2,Electronic
646,2,Electronic
647,5,Electronic
648,1,Electronic
649,1,Electronic
650,1,Electronic
651,1,Electronic
652,1,Electronic
653,2,Electronic
654,6,Electronic
655,6,Electronic
656,4,Electronic
657,6,Electronic
658,6,Electronic
659,4,Electronic
660,4,Electronic
661,2,Electronic
662,4,Electronic
663,1,Electronic
664,1,Electronic
665,4,Electronic
666,4,International
667,4,International
668,1,Hip-Hop
669,4,Hip-Hop
